seqnames	start	end	width	strand	protein_id	tx_id	exon_id	exon_rank	cds_ok	protein_start	protein_end
17	43074331	43074478	148	-	ENSP00000467329	ENST00000591534	ENSE00003587596	2	TRUE	1	354
17	43070928	43071238	311	-	ENSP00000467329	ENST00000591534	ENSE00004011554	3	TRUE	1	354
17	43067608	43067695	88	-	ENSP00000467329	ENST00000591534	ENSE00004011556	4	TRUE	1	354
17	43063874	43063951	78	-	ENSP00000467329	ENST00000591534	ENSE00004011565	5	TRUE	1	354
17	43063333	43063373	41	-	ENSP00000467329	ENST00000591534	ENSE00004011567	6	TRUE	1	354
17	43057052	43057135	84	-	ENSP00000467329	ENST00000591534	ENSE00004011551	7	TRUE	1	354
17	43051063	43051117	55	-	ENSP00000467329	ENST00000591534	ENSE00004011553	8	TRUE	1	354
17	43049121	43049194	74	-	ENSP00000467329	ENST00000591534	ENSE00004011568	9	TRUE	1	354
17	43047643	43047703	61	-	ENSP00000467329	ENST00000591534	ENSE00004011552	10	TRUE	1	354
17	43045681	43045802	122	-	ENSP00000467329	ENST00000591534	ENSE00002914501	11	TRUE	1	354
